seatCode,aid,type,,,,,,,,
02177,3,,,,,,,,,
02178,3,,,,,,,,,
02179,3,,,,,,,,,
02180,3,,,,,,,,,
02181,3,,,,,,,,,
02182,3,,,,,,,,,
02183,3,,,,,,,,,
02184,3,,,,,,,,,
02185,3,,,,,,,,,
02186,3,,,,,,,,,
02187,3,,,,,,,,,
02188,3,,,,,,,,,
02189,3,,,,,,,,,
02190,3,,,,,,,,,
02191,3,,,,,,,,,
02192,3,,,,,,,,,
02193,3,,,,,,,,,
02194,3,,,,,,,,,
02195,3,,,,,,,,,
02196,3,,,,,,,,,
02197,3,,,,,,,,,
02198,3,,,,,,,,,
02199,3,,,,,,,,,
02200,3,,,,,,,,,
02201,3,,,,,,,,,
02202,3,,,,,,,,,
02203,3,,,,,,,,,
02204,3,,,,,,,,,
02205,3,,,,,,,,,
02206,3,,,,,,,,,
02207,3,,,,,,,,,
02208,3,,,,,,,,,
02209,3,,,,,,,,,
02210,3,,,,,,,,,
02211,3,,,,,,,,,
02212,3,,,,,,,,,
02213,3,,,,,,,,,
02214,3,,,,,,,,,
02215,3,,,,,,,,,
02216,3,,,,,,,,,
02217,3,,,,,,,,,
02218,3,,,,,,,,,
02219,3,,,,,,,,,
02220,3,,,,,,,,,
02221,3,,,,,,,,,
02222,3,,,,,,,,,
02223,3,,,,,,,,,
02224,3,,,,,,,,,
02225,3,,,,,,,,,
02226,3,,,,,,,,,
02227,3,,,,,,,,,
02228,3,,,,,,,,,
02229,3,,,,,,,,,
02230,3,,,,,,,,,
02231,3,,,,,,,,,
02232,3,,,,,,,,,
